gz_id,label,start,end_,partido_generico,provincia_generica,region,iglesia_cat,servido_por,categoria,categoria_especial,cabildo,parcialidad,es_parte_de,lat,lon,cert,metodo,curato_generico,pais,nombre,variantes,nombrehoy,santo,start_ex,end_ex,fuente_ID,importancia
1002709,Matatlan,1111,9999,Teotitlan del Valle,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.8638889999,-96.3819439998,Buena,Geoservice/Satelite,None,MEX,Santiago Matatlan,None,None,Santiago,start,end,tanck,7
1002710,Mitla,1111,9999,Teotitlan del Valle,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.922222,-96.3624999998,Buena,Geoservice/Satelite,Mitla,MEX,San Pablo Mitla,Mitlatlan|,None,San Pablo,start,end,tanck,6
1002711,Quiatoni,1111,9999,Teotitlan del Valle,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.7791669996,-96.0319439996,Buena,Geoservice/Satelite,Quiatoni,MEX,San Pedro Quiatoni,None,None,San Pedro,start,end,tanck,6
1002712,San Baltazar,1111,9999,Teotitlan del Valle,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.7958330001,-96.3041669996,Buena,Geoservice/Satelite,None,MEX,San Baltazar (Guelavila),Guelavila,None,None,start,end,tanck,7
1002713,San Juan del Rio,1111,9999,Teotitlan del Valle,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.8825000002,-96.1602780002,Buena,Geoservice/Satelite,None,MEX,San Juan del Rio,None,None,None,start,end,tanck,7
1002714,San Luis del Rio,1111,9999,Teotitlan del Valle,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.7738889999,-96.1797220003,Buena,Geoservice/Satelite,None,MEX,San Luis del Rio,None,None,None,start,end,tanck,7
1002715,San Miguel del Valle,1111,9999,Teotitlan del Valle,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.0194440003,-96.4180559996,Buena,Geoservice/Satelite,None,MEX,San Miguel del Valle,None,None,None,start,end,tanck,7
1002716,Santa Ana del Rio,1111,9999,Teotitlan del Valle,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.8361110004,-96.1741670004,Buena,Geoservice/Satelite,None,MEX,Santa Ana del Rio,None,None,None,start,end,tanck,7
1002717,Santa Ana del Valle,1111,9999,Teotitlan del Valle,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.9944440004,-96.4708329998,Buena,Geoservice/Satelite,None,MEX,Santa Ana del Valle,None,None,None,start,end,tanck,7
1002718,Santo Domingo del Valle,1111,9999,Teotitlan del Valle,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.004167,-96.4313890002,Buena,Geoservice/Satelite,None,MEX,Santo Domingo del Valle (Villa Diaz Ordaz),None,Villa Diaz Ordaz,None,start,end,tanck,7
